,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20
0,,,,,,,,,,,,,,,,,,,,
1,8662956,https://aru4901.page.link/qbvQadded on Jul 18th 2024 1:25 PM,by D3Lab,VALID PHISH,ONLINE,,,,,,,,,,,,,,,
2,8662952,https://supportsella.comadded on Jul 18th 2024 1:21 PM,by bbross,VALID PHISH,ONLINE,,,,,,,,,,,,,,,
3,8662946,https://aeoncadr.reaolmt-meswebs.xhlasa.net/aeon...added on Jul 18th 2024 1:20 PM,by dms,VALID PHISH,ONLINE,,,,,,,,,,,,,,,
4,8662945,https://slmmonsxzv.site/Simmons/added on Jul 18th 2024 1:20 PM,by dms,VALID PHISH,ONLINE,,,,,,,,,,,,,,,
5,8662938,https://docs.google.com/presentation/d/e/2PACX-1vQrKoU7dtLUoo2xVcLWoAl...added on Jul 18th 2024 1:16 PM,by prodigyabuse,VALID PHISH,ONLINE,,,,,,,,,,,,,,,
6,8662936,https://dokument-a11egro.com/s/ef5j1added on Jul 18th 2024 1:14 PM,by Amarena98,VALID PHISH,ONLINE,,,,,,,,,,,,,,,
7,8662935,https://dokument-a11egro.com/s/Epeiadded on Jul 18th 2024 1:13 PM,by Amarena98,VALID PHISH,ONLINE,,,,,,,,,,,,,,,
8,8662932,https://aeon.wibmdntb.topadded on Jul 18th 2024 1:10 PM,by dms,VALID PHISH,ONLINE,,,,,,,,,,,,,,,
9,8662931,https://aeon.jcpiqlb.topadded on Jul 18th 2024 1:10 PM,by dms,VALID PHISH,ONLINE,,,,,,,,,,,,,,,
10,8662930,https://7703.tianjinshi.club/0997added on Jul 18th 2024 1:10 PM,by dms,VALID PHISH,ONLINE,,,,,,,,,,,,,,,
11,8662924,https://emmegreen69.wixsite.com/my-site-2added on Jul 18th 2024 1:07 PM,by prodigyabuse,VALID PHISH,ONLINE,,,,,,,,,,,,,,,
12,8662923,https://plum460091.studio.site/added on Jul 18th 2024 1:06 PM,by prodigyabuse,VALID PHISH,ONLINE,,,,,,,,,,,,,,,
13,8662920,https://docs.google.com/presentation/d/e/2PACX-1vShZ1Mjep1059U7exXV8I-...added on Jul 18th 2024 1:05 PM,by prodigyabuse,VALID PHISH,ONLINE,,,,,,,,,,,,,,,
