,url,URL_Length,Shortening_Service,Having_At_Symbol,Double_slash_redirecting,Prefix_Suffix,Subdomain_Count,HTTPS_token,Number_of_Parameters,Number_of_Dots,Length_of_Domain,Number_of_Digits,Number_of_Underscores,Number_of_Special_Characters,Number_of_Letters,Query_Length,Hostname_Length,Length_of_Top_Level_Domain,Path_Depth,Entropy_of_URL,URL_Contains_IP_Address,URL_Contains_Encoded_Characters,label
1,https://aru4901.page.link/qbvQ,30,0,0,1,0,1,1,1,2,17,4,0,4,20,0,17,4,1,3.1064969046460256,0,0,phishing
2,https://supportsella.com,24,0,0,1,0,0,1,1,1,16,0,0,3,20,0,16,3,1,2.5927874269574187,0,0,phishing
3,https://aeoncadr.reaolmt-meswebs.xhlasa.net/aeon,48,0,0,1,1,2,1,1,3,35,0,0,5,40,0,35,3,1,2.802034481153877,0,0,phishing
4,https://slmmonsxzv.site/Simmons/,32,0,0,1,0,0,1,1,1,15,0,0,5,26,0,15,4,1,2.6347276402843005,0,0,phishing
5,https://docs.google.com/presentation/d/e/2PACX-1vQrKoU7dtLUoo2xVcLWoAl,70,0,0,1,1,1,1,1,2,15,4,0,8,56,0,15,3,4,3.2789466816599844,0,0,phishing
6,https://dokument-a11egro.com/s/ef5j1,36,0,0,1,1,0,1,1,1,20,4,0,6,25,0,20,3,2,2.9862657820467593,0,0,phishing
7,https://dokument-a11egro.com/s/Epei,35,0,0,1,1,0,1,1,1,20,2,0,6,26,0,20,3,2,2.955980476147353,0,0,phishing
8,https://aeon.wibmdntb.top,25,0,0,1,0,1,1,1,2,17,0,0,3,20,0,17,3,1,2.6643580804202447,0,0,phishing
9,https://aeon.jcpiqlb.top,24,0,0,1,0,1,1,1,2,16,0,0,3,19,0,16,3,1,2.7301139630409326,0,0,phishing
10,https://7703.tianjinshi.club/0997,33,0,0,1,0,1,1,1,2,20,8,0,4,19,0,20,4,1,2.8449586635653694,0,0,phishing
11,https://emmegreen69.wixsite.com/my-site-2,41,0,0,1,2,1,1,1,2,23,3,0,6,30,0,23,3,1,2.8720839929340594,0,0,phishing
12,https://plum460091.studio.site/,31,0,0,1,0,1,1,1,2,22,6,0,4,19,0,22,4,1,2.8188800115145765,0,0,phishing
13,https://docs.google.com/presentation/d/e/2PACX-1vShZ1Mjep1059U7exXV8I-,70,0,0,1,2,1,1,1,2,15,9,0,9,50,0,15,3,4,3.4474760117013767,0,0,phishing
14,https://tinyurl.com/bdzf7ey4,28,1,0,1,0,0,1,1,1,11,2,0,4,21,0,11,3,1,3.047277078277756,0,0,phishing
15,https://docs.google.com/presentation/d/e/2PACX-1vT-ygH37xPz0JqDnLo-yWl,70,0,0,1,3,1,1,1,2,15,5,0,10,53,0,15,3,4,3.4559398633128984,0,0,phishing
16,https://aeonretail.iertury.com,30,0,0,1,0,1,1,1,2,22,0,0,3,25,0,22,3,1,2.765586615592566,0,0,phishing
17,https://jdctucker.wixstudio.io/my-site,38,0,0,1,1,1,1,1,2,22,0,0,5,31,0,22,2,1,2.8875386095848574,0,0,phishing
18,https://accesspage1.studio.site/,32,0,0,1,0,1,1,1,2,23,1,0,4,25,0,23,4,1,2.6183761357916584,0,0,phishing
19,http://allegr0lokalnie.08457456.xyz/captcha,43,0,0,1,0,1,0,1,2,28,9,0,4,28,0,28,3,1,3.092074917788285,0,0,phishing
20,https://forms.office.com/pages/responsepage.aspx?id=DQSIkWdsW0yxEjajBL,70,0,0,1,0,1,1,1,2,16,1,0,7,59,21,16,3,2,3.2941252442725815,0,0,phishing
23,https://supportsella.com/,25,0,0,1,0,0,1,1,1,16,0,0,4,20,0,16,3,1,2.580638377417916,0,0,phishing
24,https://pancake-airdrop2.vercel.app/,36,0,0,1,1,1,1,1,2,27,1,0,5,28,0,27,3,1,2.8157755860110347,0,0,phishing
25,http://pancake-airdrop2.vercel.app,34,0,0,1,1,1,0,1,2,27,1,0,4,27,0,27,3,1,2.7696188133473885,0,0,phishing
26,http://allegrol0kalnie.98457456.xyz/captcha,43,0,0,1,0,1,0,1,2,28,9,0,4,28,0,28,3,1,3.12431432153526,0,0,phishing
27,https://postgg.sbs/pl?a=kPj1R,29,0,0,1,0,0,1,1,1,10,1,0,6,21,7,10,3,1,2.7873309195170792,0,0,phishing
28,https://sites.google.com/view/weblogemail/home,46,0,0,1,0,1,1,1,2,16,0,0,6,38,0,16,3,3,2.724753565639204,0,0,phishing
29,https://allegr0lokalnie.08457456.xyz/h8qjp7uu,45,0,0,1,0,1,1,1,2,28,11,0,4,28,0,28,3,1,3.240517008794262,0,0,phishing
30,https://dshconstruction.one/,28,0,0,1,0,0,1,1,1,19,0,0,4,23,0,19,3,1,2.5643075947917517,0,0,phishing
31,https://ttrezor-io-suite.webflow.io/,36,0,0,1,2,1,1,1,2,27,0,0,6,28,0,27,2,1,2.7387592326154855,0,0,phishing
32,http://ttrezor-io-suite.webflow.io,34,0,0,1,2,1,0,1,2,27,0,0,5,27,0,27,2,1,2.728845449785039,0,0,phishing
33,https://s2developrnent.com/rss/index.html,41,1,0,1,0,0,1,1,1,18,1,0,5,33,0,18,3,2,2.821696419560851,0,0,phishing
34,https://allegrol0kalnie.98457456.xyz/kdegxqqx,45,0,0,1,0,1,1,1,2,28,9,0,4,30,0,28,3,1,3.2172615357380603,0,0,phishing
35,https://vyc.dhy.mybluehost.me/Diee/,35,0,0,1,0,2,1,1,3,21,0,0,5,27,0,21,2,1,2.782596887911807,0,0,phishing
36,https://postilu.xyz/i/,22,0,0,1,0,0,1,1,1,11,0,0,5,16,0,11,3,1,2.500138026365427,0,0,phishing
37,https://postilu.xyz/i?udz=IQplsPCmym?FjK=2FrxMt1evi,51,0,0,1,0,0,1,1,1,11,2,0,8,40,29,11,3,1,3.319959472752249,0,0,phishing
38,https://is.gd/WwLjgO,20,1,0,1,0,0,1,1,1,5,0,0,4,15,0,5,2,1,2.6229962760857903,0,0,phishing
39,https://xne.us/a4o,18,0,0,1,0,0,1,1,1,6,1,0,4,12,0,6,2,1,2.5532370029937144,0,0,phishing
40,https://11040db.wcomhost.com/,29,1,0,1,0,1,1,1,2,20,5,0,4,18,0,20,3,1,2.6917244118536385,0,0,phishing
41,https://myoweb-idt.online/myorangeIdent,39,0,0,1,1,0,1,1,1,17,0,0,5,33,0,17,6,1,2.9258082227981865,0,0,phishing
42,https://dokument-qr.com/s/fHOic,31,0,0,1,1,0,1,1,1,15,0,0,6,24,0,15,3,2,2.969916502712131,0,0,phishing
45,https://irs-corporate-portal.com/apply/,39,0,0,1,2,0,1,1,1,24,0,0,7,31,0,24,3,1,2.6617946294482966,0,0,phishing
46,https://ipfs.io/ipfs/bafkreif34dbkbhlogztrfrpeb4oochhatz4vm52rdpqpw4bo,70,0,0,1,0,0,1,1,1,7,7,0,5,57,0,7,2,2,3.1286309729013455,0,0,phishing
47,https://cloudflare-ipfs.com/ipfs/bafkreif34dbkbhlogztrfrpeb4oochhatz4v,70,0,0,1,1,0,1,1,1,19,4,0,6,59,0,19,3,2,3.1156587821949855,0,0,phishing
48,https://play-now-34d811.webflow.io/,35,0,0,1,2,1,1,1,2,26,5,0,6,22,0,26,2,1,3.0351972967827754,0,0,phishing
49,https://us17.list-manage.com/survey?u=030b309af2ed741a6d182440e&id=501,70,0,0,1,1,1,1,2,2,20,22,0,9,37,34,20,3,1,3.442621753507222,0,0,phishing
50,https://next-basedprotocol.pages.dev/,37,0,0,1,1,1,1,1,2,28,0,0,5,30,0,28,3,1,2.8424696576081137,0,0,phishing
51,http://next-basedprotocol.pages.dev/,36,0,0,1,1,1,0,1,2,28,0,0,5,29,0,28,3,1,2.8467677459157863,0,0,phishing
52,https://allegrol0kalnie.98457456.xyz/nuo3hnql,45,0,0,1,0,1,1,1,2,28,10,0,4,29,0,28,3,1,3.23490208570058,0,0,phishing
53,https://ing.clientes-webapp.com,31,0,0,1,1,1,1,1,2,23,0,0,4,25,0,23,3,1,2.846720212074426,0,0,phishing
54,https://auth-trezor.github.io/,30,0,0,1,1,1,1,1,2,21,0,0,5,23,0,21,2,1,2.682186211669535,0,0,phishing
55,http://auth-trezor.github.io,28,0,0,1,1,1,0,1,2,21,0,0,4,22,0,21,2,1,2.63003334607184,0,0,phishing
56,https://us13.list-manage.com/survey?u=4f008145e90b6a2abe9b6cebd&id=5fa,70,0,0,1,1,1,1,2,2,20,16,0,9,43,34,20,3,1,3.4341579018957007,0,0,phishing
57,https://hootbio.com/btpages,27,0,0,1,0,0,1,1,1,11,0,0,4,22,0,11,3,1,2.5576380067656994,0,0,phishing
58,https://www.dropbox.com/scl/fi/hczqw6jb5cbtonrvz8d89/VOICE-MESSAGE-REC,70,0,0,1,2,1,1,1,2,15,5,0,9,54,0,15,3,4,3.466035552083445,0,0,phishing
59,https://us14.list-manage.com/survey?u=fc51f9ea172cfdb56fa4f02b7&id=6ae,70,0,0,1,1,1,1,2,2,20,15,0,9,44,34,20,3,1,3.4068787232544944,0,0,phishing
60,https://us13.list-manage.com/survey?u=f08a64ecf9cc6177e908cd739&id=683,70,0,0,1,1,1,1,2,2,20,20,0,9,39,34,20,3,1,3.3929176544189636,0,0,phishing
61,https://novbank.cfd/,20,0,0,1,0,0,1,1,1,11,0,0,4,15,0,11,3,1,2.6923109941417858,0,0,phishing
62,https://novobnk.sbs/,20,0,0,1,0,0,1,1,1,11,0,0,4,15,0,11,3,1,2.3888897147295793,0,0,phishing
